chauffage;device=chauffage
éteins;TurnOff
active;TurnOn
arrete;TurnOff
arrête;TurnOff
allumer;TurnOn
mets;Set
Un degrès;param=1
Deux degrès;param=2
Trois degrès;param=3
Quatre degrès;param=4
cinq degrès;aram=5
six degrès;param=6
Sept degrès;param=7
huit degrès;param=8
neuf degrès;param=9
dix degrès;param=10
onze degrès;param=11
douze degrès;param=12
treize degrès;param=13
quatorze degrès;param=14
quinze degrès;param=15
seize degrès;param=16
Dix-sept degrès;param=17
Dix-huit degrès;param=18
Dix-neuf degrès;param=19
vingt degrès;param=20
Vingt-et-un;param=21
Vingt-deux;param=22
Vingt-trois;param=23
Vingt-quatre;param=24
Vingt-cinq;param=25
Vingt-six;param=26
Vingt-sept;param=27
Vingt-huit;param=28
Vingt-neuf;param=29
Trente;param=30
Peux-tu activer;TurnOn
s’il te plaît;way=politeness
salon;location=salon
