bienvenu;Affirm;type=welcome
allume;TurnOn;
active;TurnOn;
radio;device=radio;
arrete;TurnOff;
arrête;TurnOff;
lampe;device=lampe;
stores;device=stores;
chauffage;device=chauffage;
serrure;device=serrure;
télévision;device=télévision;
pleuvoir;weatherPrediction=pleuvoir;
salon;location=salon;
chambre;location=chambre;
cuisine;location=cuisine;
couloir;location=couloir;
éteins;TurnOff;
rouge;color=rouge;
mets;Set;
playlist;device=playlist;
quel;Request;type=what
Est-ce que;IsOn;
arrête;TurnOff;
s’il te plaît;way=politeness;
gazinière;device=gazinière;
