bonjour;Affirm(type=welcome)
bonjour buddy;Affirm(type=welcome)
qu’est-ce qu’un robot ?;Request(type=what, param=robot)
qui est le président ?;Request(type=what, param=président)
quelle est la monnaie du Portugal;Request(type=what, param=monnaie du portugal)
quand a eu lieu la révolution française;Request(type=when, param=révolution francaise)
Pourrais tu nous expliquer ce que tu sais faire ?;Request(type=explain, param=skills)
Sais-tu danser ?;Request(type=know, param=danse)
Sais-tu cuisiner ?;Request(type=know, param=cook)
Bienvenu;Affirm(type=welcome)
Es-tu content d’être avec nous ?;Request(type=feel, param=happy with us)
qui es tu ?;Request(type=who, param=buddy)
t’es qui ?;Request(type=who, param=buddy)
Comment t’appelles-tu ?;Request(type=what, param=buddy name)
