pluie;weatherPrediction=rain;
neige;weatherPrediction=snow;
soleil;weatherPrediction=sun;
brouillard;weatherPrediction=overcast;
nuage;weatherPrediction=cloud;
orage;weatherPrediction=overcast;
Paris;location=Paris;
New York;location=New_York;
Toulouse;location=Toulouse;
Avignon;location=Avignon;
Auxerre;location=Auxerre;
Dijon;location=Dijon;
Carnac;location=Carnac;
Besançon;location=Besançon;
à Paris;location=Paris;
à Avignon;location=Avignon;
à Lyon;location=Lyon;
à New York;location=New_York;
pleuvoir;weatherPrediction=pleuvoir;
demain;day=1;
après demain;day=2;
dans un jour;day=1;
dans deux jours;day=2;
dans trois jours;day=3;
dans quatre jours;day=4;
dans cinq jours;day=5;
dans six jours;day=6;
matin;hour=8;
midi;hour=12;
après-midi=16;
soir;hour=19;
minuit;hour=24;
Est-ce que;Request;
Quand;Request;when=true;
Quel;Request;
Quels;Request;
Quelle;Request;
Quelles;Request;

